ScientificName,CommonName,FrenchName,Sex,Minimum length at first maturity,Mean length at first maturity (Lm),Measurement type,Country,Locality,Reference
Esox lucius,Northern Pike,Brochet,Male,380,NA,NA,United Kingdom,Windermere,<a href=http://fishbase.ca/references/FBRefSummary.php?id=4992 target='_blank' >Frost et al. 1967</a>
Esox lucius,Northern Pike,Brochet,Male,380,NA,NA,United States,Wisconsin,<a href=http://fishbase.ca/references/FBRefSummary.php?id=26396 target='_blank' >Toner et al. 1969</a>
Esox lucius,Northern Pike,Brochet,Mixed,400,NA,SL,Russian Federation,Enisey River,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56502 target='_blank' >Podlesnyi 1958</a>
Esox lucius,Northern Pike,Brochet,Female,250,NA,SL,NA,Europe,<a href=http://fishbase.ca/references/FBRefSummary.php?id=59043 target='_blank' >Kottelat et al. 2007</a>
Esox lucius,Northern Pike,Brochet,Male,170,NA,SL,NA,Europe,<a href=http://fishbase.ca/references/FBRefSummary.php?id=59043 target='_blank' >Kottelat et al. 2007</a>
Esox lucius,Northern Pike,Brochet,Female,NA,380,NA,Ireland,"Pollaphuca Reservoir, 1990 (April)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=89783 target='_blank' >Roche et al. 1999</a>
Esox lucius,Northern Pike,Brochet,Male,NA,340,NA,Ireland,"Pollaphuca Reservoir, 1990 (April)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=89783 target='_blank' >Roche et al. 1999</a>
Abramis brama,Common Bream,Brème,Mixed,250,NA,OT,Poland,River Regalica (1974-1977),<a href=http://fishbase.ca/references/FBRefSummary.php?id=75615 target='_blank' >Kompowski 1982</a>
Tinca tinca,Tench,Tanche,Unsexed,70,NA,SL,NA,Not Specified,<a href=http://fishbase.ca/references/FBRefSummary.php?id=59043 target='_blank' >Kottelat et al. 2007</a>
Tinca tinca,Tench,Tanche,Female,198,NA,FL,Turkey,Kayabogazi Dam Lake (1996-1997),<a href=http://fishbase.ca/references/FBRefSummary.php?id=75325 target='_blank' >Alas et al. 2004</a>
Tinca tinca,Tench,Tanche,Male,169,NA,FL,Turkey,Kayabogazi Dam Lake (1996-1997),<a href=http://fishbase.ca/references/FBRefSummary.php?id=75325 target='_blank' >Alas et al. 2004</a>
Rutilus rutilus,Roach,Gardon,Female,NA,130,TL,England and Wales (UK),"Rivers, Southern England",<a href=http://fishbase.ca/references/FBRefSummary.php?id=10217 target='_blank' >Mann 1973</a>
Rutilus rutilus,Roach,Gardon,Male,NA,92,TL,England and Wales (UK),"Rivers, Southern England",<a href=http://fishbase.ca/references/FBRefSummary.php?id=10217 target='_blank' >Mann 1973</a>
Rutilus rutilus,Roach,Gardon,Mixed,100,NA,SL,Russian Federation,Enisey River,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56502 target='_blank' >Podlesnyi 1958</a>
Rutilus rutilus,Roach,Gardon,Female,NA,149.8,TL,Turkey,Lake Sapanca (2000-2002),<a href=http://fishbase.ca/references/FBRefSummary.php?id=75295 target='_blank' >Tarkan 2006</a>
Rutilus rutilus,Roach,Gardon,Male,NA,122.6,TL,Turkey,Lake Sapanca (2000-2002),<a href=http://fishbase.ca/references/FBRefSummary.php?id=75295 target='_blank' >Tarkan 2006</a>
Notemigonus crysoleucas,Golden Shiner,Méné jaune,Unsexed,NA,64,SL,Canada,Ontario Lake,<a href=http://fishbase.ca/references/FBRefSummary.php?id=58612 target='_blank' >Portt et al. 1988</a>
Ictalurus punctatus,Channel Catfish,Barbue de rivière,Unsexed,NA,360,NA,United States,Mississippi River,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Anguilla rostrata,American Eel,Anguille d'Amérique,Unsexed,353,NA,TL,United States,"Altamaha River, Georgia, 1980-81",<a href=http://fishbase.ca/references/FBRefSummary.php?id=7130 target='_blank' >Helfman et al. 1984</a>
Anguilla rostrata,American Eel,Anguille d'Amérique,Female,370,NA,TL,United States,Chesapeake Bay.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=93252 target='_blank' >Murdy et al. 2013</a>
Anguilla rostrata,American Eel,Anguille d'Amérique,Male,220,NA,TL,United States,Chesapeake Bay.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=93252 target='_blank' >Murdy et al. 2013</a>
Lota lota,Burbot,Lotte,Female,350,NA,NA,Mongolia,Selenga and Orhon Rivers,<a href=http://fishbase.ca/references/FBRefSummary.php?id=41072 target='_blank' >Dulmaa 1999</a>
Lota lota,Burbot,Lotte,Male,270,NA,NA,Mongolia,Selenga and Orhon Rivers,<a href=http://fishbase.ca/references/FBRefSummary.php?id=41072 target='_blank' >Dulmaa 1999</a>
Lota lota,Burbot,Lotte,Mixed,400,NA,TL,Russian Federation,Enisey River,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56502 target='_blank' >Podlesnyi 1958</a>
Lota lota,Burbot,Lotte,Unsexed,450,NA,NA,Alaska (USA),Not Specified,<a href=http://fishbase.ca/references/FBRefSummary.php?id=58810 target='_blank' >Holmes 1994</a>
Perca fluviatilis,European Perch,Perche fluviatile,Female,NA,160,NA,Sweden,Sweden,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Perca fluviatilis,European Perch,Perche fluviatile,Male,NA,100,NA,Sweden,Sweden,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Perca fluviatilis,European Perch,Perche fluviatile,Female,NA,150,FL,Scotland (UK),Loch Davan,<a href=http://fishbase.ca/references/FBRefSummary.php?id=88821 target='_blank' >Treasurer 1981</a>
