"","ScientificName","CommonName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Measurement type","Country","Locality","Reference"
"132","Tinca tinca","Tench","Male",16.9,NA,"FL","Turkey","Kayabogazi Dam Lake (1996-1997)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75325 target='_blank' >Reference</a>"
"133","Margariscus margarita","Allegheny pearl dace","Unsexed",NA,9.4,"SL","Canada","Ontario","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58612 target='_blank' >Reference</a>"
"134","Acipenser brevirostrum","Shortnose sturgeon","Female",45,NA,"FL","United States","St. John River, New Brunswick","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38308 target='_blank' >Reference</a>"
"135","Acipenser brevirostrum","Shortnose sturgeon","Female",70,NA,"TL",NA,"St. Johns River, New Brunswick","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38308 target='_blank' >Reference</a>"
"136","Acipenser brevirostrum","Shortnose sturgeon","Male",49,NA,NA,"United States","St. John River, New Brunswick","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4639 target='_blank' >Reference</a>"
"139","Acipenser fulvescens","Lake sturgeon","Unsexed",NA,112,NA,"United States","Wisconsin","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"140","Acipenser fulvescens","Lake sturgeon","Female",NA,80,"TL",NA,"Nottaway River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=9979 target='_blank' >Reference</a>"
"141","Acipenser fulvescens","Lake sturgeon","Male",NA,90,"TL",NA,"Nottaway River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=9979 target='_blank' >Reference</a>"
"142","Acipenser fulvescens","Lake sturgeon","Female",NA,114,"TL",NA,"Quebec","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=9980 target='_blank' >Reference</a>"
"143","Acipenser fulvescens","Lake sturgeon","Male",NA,96.5,"TL",NA,"Quebec","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=9980 target='_blank' >Reference</a>"
"145","Acipenser fulvescens","Lake sturgeon","Female",90,NA,"TL",NA,"Not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52332 target='_blank' >Reference</a>"
"146","Acipenser fulvescens","Lake sturgeon","Male",85,NA,"TL",NA,"Not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52332 target='_blank' >Reference</a>"
"147","Acipenser medirostris","Green sturgeon","Mixed",100,NA,"TL",NA,"Not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52332 target='_blank' >Reference</a>"
"148","Acipenser medirostris","Green sturgeon","Unsexed",NA,100,"TL","Russian Federation","Sea of Japan","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56557 target='_blank' >Reference</a>"
"149","Acipenser oxyrinchus","Atlantic sturgeon","Female",182.9,NA,NA,"United States","Hudson River, New York","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4639 target='_blank' >Reference</a>"
"150","Acipenser oxyrinchus","Atlantic sturgeon","Female",NA,190,"TL","United States","St. Lawrence River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=1998 target='_blank' >Reference</a>"
"152","Acipenser oxyrinchus","Atlantic sturgeon","Male",121.9,NA,NA,"United States","Hudson River, New York","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4639 target='_blank' >Reference</a>"
"153","Acipenser oxyrinchus","Atlantic sturgeon","Male",NA,165,"TL","United States","St. Lawrence River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=1998 target='_blank' >Reference</a>"
"158","Acipenser transmontanus","White sturgeon","Unsexed",NA,112,NA,"United States","California","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"161","Acipenser transmontanus","White sturgeon","Female",NA,160,"FL",NA,"Lower Columbia River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=34045 target='_blank' >Reference</a>"
"167","Alosa mediocris","Hickory shad","Female",NA,32,"TL","United States","Not specified","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38619 target='_blank' >Reference</a>"
"168","Alosa mediocris","Hickory shad","Male",NA,28.7,"TL","United States","Not specified","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38619 target='_blank' >Reference</a>"
"170","Alosa pseudoharengus","Alewife","Female",11,NA,"SL","Canada","Lake Ontario","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38946 target='_blank' >Reference</a>"
"172","Alosa pseudoharengus","Alewife","Male",9.55,NA,"SL","Canada","Lake Ontario","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38946 target='_blank' >Reference</a>"
"174","Alosa pseudoharengus","Alewife","Mixed",NA,15.8,"TL","United States","Lake Michigan","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38634 target='_blank' >Reference</a>"
"175","Alosa pseudoharengus","Alewife","Mixed",NA,13.1,"TL","United States","Lake Ontario, 1978-92","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52208 target='_blank' >Reference</a>"
