"","ScientificName","CommonName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Measurement type","Country","Locality","Reference"
"657","Ctenopharyngodon idella","Grass carp","Female",73.8,NA,"TL","India","Cuttack","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48 target='_blank' >Reference</a>"
"658","Ctenopharyngodon idella","Grass carp","Female",58,NA,"TL","Malaysia","Malacca","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48 target='_blank' >Reference</a>"
"659","Ctenopharyngodon idella","Grass carp","Male",60,NA,"SL","Russian Federation","Amur River (middle)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48 target='_blank' >Reference</a>"
"660","Ctenopharyngodon idella","Grass carp","Male",75.2,NA,"TL","India","Cuttack","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48 target='_blank' >Reference</a>"
"661","Ctenopharyngodon idella","Grass carp","Male",51,NA,"TL","Malaysia","Malacca","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48 target='_blank' >Reference</a>"
"662","Ctenopharyngodon idella","Grass carp","Unsexed",NA,70,NA,NA,"To be filled","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=150 target='_blank' >Reference</a>"
"663","Ctenopharyngodon idella","Grass carp","Unsexed",NA,65,"SL","China","Changjiang River = Yangtze","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=37797 target='_blank' >Reference</a>"
"664","Ctenopharyngodon idella","Grass carp","Unsexed",NA,70,"SL","China","Heilongjiang River = Amur","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=37797 target='_blank' >Reference</a>"
"665","Ctenopharyngodon idella","Grass carp","Unsexed",NA,55,"SL","China","Zhujiang River = Pearl River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=37797 target='_blank' >Reference</a>"
"667","Ctenopharyngodon idella","Grass carp","Unsexed",60,NA,"SL",NA,"Not specified ","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=59043 target='_blank' >Reference</a>"
