"","ScientificName","CommonName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Country","Locality","Reference"
"215","Clupea harengus","Atlantic herring","Unsexed",NA,26.8,"Canada","Georges Bank, 1986","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=92075>Reference</a>"
"216","Clupea harengus","Atlantic herring","Unsexed",NA,26.5,"Canada","Georges Bank, 1987","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=92075>Reference</a>"
"217","Clupea harengus","Atlantic herring","Unsexed",NA,26.8,"Canada","Georges Bank, 1988","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=92075>Reference</a>"
"218","Clupea harengus","Atlantic herring","Unsexed",NA,26.4,"Canada","Georges Bank, 1989","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=92075>Reference</a>"
"219","Clupea harengus","Atlantic herring","Unsexed",NA,26,"Canada","Georges Bank, 1990","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=92075>Reference</a>"
"220","Clupea harengus","Atlantic herring","Unsexed",NA,25.3,"Canada","Georges Bank, 1991","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=92075>Reference</a>"
"221","Clupea harengus","Atlantic herring","Unsexed",NA,25.4,"Canada","Georges Bank, 1992","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=92075>Reference</a>"
"222","Clupea harengus","Atlantic herring","Unsexed",NA,25,"Canada","Georges Bank, 1994","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=92075>Reference</a>"
"223","Clupea harengus","Atlantic herring","Unsexed",NA,25.1,"Canada","Georges Bank, 1995","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=92075>Reference</a>"
"224","Clupea harengus","Atlantic herring","Unsexed",NA,24.9,"Canada","Gulf of Maine, 1993","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=92075>Reference</a>"
"226","Clupea harengus","Atlantic herring","Female",NA,15,"Finland","Åland, Baltic Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818>Reference</a>"
"227","Clupea harengus","Atlantic herring","Female",NA,15,"Finland","Archipelago Sea, Kustavi","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818>Reference</a>"
"228","Clupea harengus","Atlantic herring","Female",NA,15,"Finland","Gulf of Finland, Helsinki","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818>Reference</a>"
