English Common Name,French Common Name,Scientific Name,Group
Mimic Shiner,M?n? p?le,Notropis volucellus,"Catfish, Salmon, Sunfish & Walleye"
Mooneye,Laquaiche argent?e,Hiodon tergisus,Herring & Sturgeon
Mottled Sculpin,Chabot tachet?,Cottus bairdii,
Mountain Sucker,Meunier des montagnes,Catostomus platyrhynchus,"Catfish, Salmon, Sunfish & Walleye"
Mountain Whitefish,M?nomini des montagnes,Prosopium williamsoni,"Catfish, Salmon, Sunfish & Walleye"
Mummichog,Choquemort,Fundulus heteroclitus,
Muskellunge,Maskinong?,Esox masquinongy,Pike
Ninespine Stickleback,?pinoche ? neuf ?pines,Pungitius pungitius,
Northern Brook Lamprey,Lamproie du nord,Ichthyomyzon fossor,Eel
Northern Hog Sucker,,Hypentelium nigricans,"Catfish, Salmon, Sunfish & Walleye"
Northern Pike,Brochet,Esox lucius,Pike
Northern Pikeminnow,Sauvagesse du nord,Ptychocheilus oregonensis,"Catfish, Salmon, Sunfish & Walleye"
Northern Redbelly Dace,Ventre rouge du nord,Chrosomus eos,"Catfish, Salmon, Sunfish & Walleye"
Pacific Lamprey,Lamproie du Pacifique,Entosphenus tridentatus,Eel
Pallid Sturgeon,Esturgeon p?le,Scaphirhynchus albus,Herring & Sturgeon
Peamouth,M?n? deux-barres,Mylocheilus caurinus,"Catfish, Salmon, Sunfish & Walleye"
Pearl Dace,Mulet perl?,Margariscus?margarita,"Catfish, Salmon, Sunfish & Walleye"
Pink Salmon,Saumon rose,Oncorhynchus gorbuscha,"Catfish, Salmon, Sunfish & Walleye"
Plains Minnow,M?n? des plaines,Hybognathus placitus,"Catfish, Salmon, Sunfish & Walleye"
Pond Smelt,?perlan ? petite bouche,Hypomesus olidus,Herring & Sturgeon
Prickly Sculpin,Chabot piquant,Cottus asper,
Proserpine Shiner,M?n? de Proserpine,Cyprinella proserpina,"Catfish, Salmon, Sunfish & Walleye"
Pugnose Minnow,,Opsopoeodus emiliae,"Catfish, Salmon, Sunfish & Walleye"
Pugnose Shiner,,Notropis anogenus,"Catfish, Salmon, Sunfish & Walleye"
Pumpkinseed,Crapet-soleil,Lepomis gibbosus,"Catfish, Salmon, Sunfish & Walleye"
Pygmy Whitefish,M?nomini pygm?e,Prosopium coulterii,"Catfish, Salmon, Sunfish & Walleye"
Quillback,Couette,Carpiodes cyprinus,"Catfish, Salmon, Sunfish & Walleye"
Rainbow Darter,Dard arc-en-ciel,Etheostoma caeruleum,"Catfish, Salmon, Sunfish & Walleye"
Rainbow Smelt,?perlan arc-en-ciel,Osmerus mordax,Herring & Sturgeon
Rainbow Trout,Truite arc-en-ciel,Oncorhynchus mykiss,"Catfish, Salmon, Sunfish & Walleye"
Red River Shiner,Red River shiner,Notropis bairdi,"Catfish, Salmon, Sunfish & Walleye"
Red Shiner,M?n? rouge,Cyprinella lutrensis,"Catfish, Salmon, Sunfish & Walleye"
Redbreast Sunfish,Crapet rouge,Lepomis auritus,"Catfish, Salmon, Sunfish & Walleye"
Redfin Pickerel,Brochet d'Am?rique,Esox americanus americanus,Pike
Redfin Shiner,M?n? d?ombre,Lythrurus umbratilis,"Catfish, Salmon, Sunfish & Walleye"
Redside Dace,M?n? long,Clinostomus elongatus,"Catfish, Salmon, Sunfish & Walleye"
Redside Shiner,M?n? rose,Richardsonius balteatus,"Catfish, Salmon, Sunfish & Walleye"
Ribbon Shiner,M?n? ruban,Lythrurus fumeus,"Catfish, Salmon, Sunfish & Walleye"
Rio Grande Darter,Dard Rio Grande,Etheostoma grahami,"Catfish, Salmon, Sunfish & Walleye"
Rio Grande Silvery Minnow,M?n? d?argent,Hybognathus amarus,"Catfish, Salmon, Sunfish & Walleye"
River Chub,,Nocomis micropogon,"Catfish, Salmon, Sunfish & Walleye"
River Darter,,Percina shumardi,"Catfish, Salmon, Sunfish & Walleye"
River Lamprey,Lamproie de rivi?re,Lampetra ayresii,Eel
River Redhorse,Chevalier de rivi?re,Moxostoma carinatum,"Catfish, Salmon, Sunfish & Walleye"
River Shiner,,Notropis blennius,"Catfish, Salmon, Sunfish & Walleye"
Roach,Gardon,Rutilus rutilus,"Catfish, Salmon, Sunfish & Walleye"
Rock Bass,Crapet de roche,Ambloplites rupestris,"Catfish, Salmon, Sunfish & Walleye"
Rosyface Shiner,T?te rose,Notropis rubellus,"Catfish, Salmon, Sunfish & Walleye"
Round Whitefish,M?nomini rond,Prosopium cylindraceum,"Catfish, Salmon, Sunfish & Walleye"
Sabine Shiner,M?n? Sabine,Notropis sabinae,"Catfish, Salmon, Sunfish & Walleye"
Sand Shiner,M?n? paille,Notropis stramineus,"Catfish, Salmon, Sunfish & Walleye"
Sauger,Dor? noir,Sander canadensis,"Catfish, Salmon, Sunfish & Walleye"
Sea Lamprey,Lamproie marine,Petromyzon marinus,Eel
