"","ScientificName","CommonName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Measurement type","Country","Locality","Reference"
"102","Salmo trutta","Sea trout","Male",NA,134.3,"FL","Spain","Cabrillas River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"103","Salmo trutta","Sea trout","Male",NA,123.2,"FL","Spain","Cega River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"104","Salmo trutta","Sea trout","Male",NA,141.4,"FL","Spain","Dulce River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"105","Salmo trutta","Sea trout","Male",NA,124.6,"FL","Spain","Eresma River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"106","Salmo trutta","Sea trout","Male",NA,132,"FL","Spain","Gallo River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"107","Salmo trutta","Sea trout","Male",NA,138.8,"FL","Spain","Hoz Seca River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"108","Salmo trutta","Sea trout","Male",NA,138.6,"FL","Spain","Jaram river / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"114","Salmo trutta","Sea trout","Female",12.8,NA,"SL","Greece","Aspropotamos stream (March 1981- February 1982)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=27724 target='_blank' >Papageorgi... et al. 1983</a>"
"115","Salmo trutta","Sea trout","Male",10.5,NA,"SL","Greece","Aspropotamos stream (March 1981- February 1982)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=27724 target='_blank' >Papageorgi... et al. 1983</a>"
"116","Salmo trutta","Sea trout","Female",147,NA,NA,NA,"Not specified.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=41168 target='_blank' >Gabrielyan 2001</a>"
