ScientificName,CommonName,Sex,Minimum length at first maturity,Mean length at first maturity (Lm),Measurement type,Country,Locality,Reference,URL
Oncorhynchus keta,chum salmon,,,681,FL,Canada,"Fraser River, British Columbia","Scott and Crossman, 1973",http://fishbase.us/references/FBRefSummary.php?id=52559
Oncorhynchus kisutch,coho salmon,,,635,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Oncorhynchus mykiss,rainbow trout,,,349,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Oncorhynchus nerka,sockeye salmon,,203,216,,Canada,Northern British Columbia,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Oncorhynchus nerka,sockeye salmon,,305,343,,Canada,Southern British Columbia,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Oncorhynchus nerka,sockeye salmon,,160,220,,Canada,"Kootenay Lake, British Columbia","Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Oncorhynchus tshawytscha,chinook salmon,,,750,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Salmo salar,Atlantic salmon,,,800,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Salmo trutta,brown trout,,,258,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Salvelinus alpinus alpinus,Arctic char,,,363,FL,Canada,"Frobisher Bay, Nunavut","Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Salvelinus confluentus,bull trout,,,385,,Canada,British Columbia,Ford et al. 1995,http://publications.gc.ca/pub?id=9.562530&sl=0
Salvelinus fontinalis,brook trout,,,156,SL,Canada,Ontario lake,Portt et al. 1988,http://fishbase.us/references/FBRefSummary.php?id=10280
Salvelinus malma,Dolly Varden,,,206,FL,United States,Alaska,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Salvelinus namaycush,lake trout,,,510,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Thymallus arcticus,Arctic grayling,,,326,FL,Canada,"Prairie Creek, Alberta","Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Percopsis omiscomaycus,trout-perch,,,78,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Lota lota,burbot,,,370,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Fundulus diaphanus,banded killifish,,,53,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Fundulus heteroclitus,mummichog,,,38,,,,Coad et al. 1995,http://fishbase.us/references/FBRefSummary.php?id=12204
