	English.Common.Name	French.Common.Name	Scientific.Name	Group.s.	Screen.Area.Coefficient	Approach.Velocity
138	Ribbon Shiner	Méné ruban	Lythrurus fumeus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
139	Sabine Shiner	Méné Sabine	Notropis sabinae	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
140	Topeka Shiner	Méné Topeka	Notropis topeka	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
141	Mountain Whitefish	Ménomini des montagnes	Prosopium williamsoni	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
142	Pygmy Whitefish	Ménomini pygmée	Prosopium coulterii	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
143	Round Whitefish	Ménomini rond	Prosopium cylindraceum	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
144	Blackchin Shiner	Menton noir	Notropis heterodon	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
145	Largescale Sucker	Meunier à grandes écailles	Catostomus macrocheilus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
146	Flannelmouth Sucker	Meunier à grosses nageoires	Catostomus latipinnis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
147	Bridgelip Sucker	Meunier de l'ouest	Catostomus columbianus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
148	Mountain Sucker	Meunier des montagnes	Catostomus platyrhynchus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
149	White Sucker	Meunier noir	Catostomus commersonii	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
150	Longnose Sucker	Meunier rouge	Catostomus catostomus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
151	Creek Chub	Mulet à cornes	Semotilus atromaculatus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
152	Pearl Dace	Mulet perlé	Margariscus?margarita	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
153	Blacknose Shiner	Museau noir	Notropis heterolepis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
154	Longnose Dace	Naseux des rapides	Rhinichthys cataractae	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
155	Leopard Dace	Naseux léopard	Rhinichthys falcatus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
156	Blacknose Dace	Naseux noir	Rhinichthys atratulus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
