"","ScientificName","CommonName","FrenchName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Measurement type","Country","Locality","Reference"
"110","Cyprinus carpio","Carp","Carpe","Female",320,NA,NA,"Mongolia","Not Specified.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=41072 target='_blank' >Dulmaa 1999</a>"
"111","Cyprinus carpio","Carp","Carpe","Male",260,NA,NA,"Mongolia","Not Specified.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=41072 target='_blank' >Dulmaa 1999</a>"
"112","Esox niger","Chain Pickerel","Brochet maillé","Unsexed",156,NA,NA,"United States","Not Specified","<a href=http://fishbase.ca/references/FBRefSummary.php?id=39116 target='_blank' >Lewis 1971</a>"
"113","Ictalurus punctatus","Channel Catfish","Barbue de rivière","Unsexed",NA,360,NA,"United States","Mississippi River","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"114","Ictalurus punctatus","Channel Catfish","Barbue de rivière","Female",543,NA,"TL","United States","Lake Oahe","<a href=http://fishbase.ca/references/FBRefSummary.php?id=120689 target='_blank' >Starostka et al. 1974</a>"
"115","Ictalurus punctatus","Channel Catfish","Barbue de rivière","Female",NA,254,"TL","United States","Western Lake Erie","<a href=http://fishbase.ca/references/FBRefSummary.php?id=120689 target='_blank' >Starostka et al. 1974</a>"
"116","Ictalurus punctatus","Channel Catfish","Barbue de rivière","Male",393,NA,"TL","United States","Lake Oahe","<a href=http://fishbase.ca/references/FBRefSummary.php?id=120689 target='_blank' >Starostka et al. 1974</a>"
"117","Ictalurus punctatus","Channel Catfish","Barbue de rivière","Mixed",305,NA,NA,"United States","Wisconsin","<a href=http://fishbase.ca/references/FBRefSummary.php?id=120825 target='_blank' >Holtan 1998</a>"
"118","Ichthyomyzon castaneus","Chestnut Lamprey","Lamproie brune","Unsexed",NA,101,"TL","Canada","Manitoba","<a href=http://fishbase.ca/references/FBRefSummary.php?id=1998 target='_blank' >Scott et al. 1973</a>"
"119","Oncorhynchus tshawytscha","Chinook Salmon","Saumon chinook","Unsexed",NA,789,NA,"Russian Federation","Eastern Kamchatka","<a href=http://fishbase.ca/references/FBRefSummary.php?id=56350 target='_blank' >Vronsky 2003</a>"
"120","Oncorhynchus tshawytscha","Chinook Salmon","Saumon chinook","Unsexed",NA,854,NA,"Russian Federation","Western Kamchatka","<a href=http://fishbase.ca/references/FBRefSummary.php?id=56350 target='_blank' >Vronsky 2003</a>"
"121","Oncorhynchus keta","Chum Salmon","Saumon keta","Female",NA,700,NA,"Canada","Columbia River","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"122","Oncorhynchus keta","Chum Salmon","Saumon keta","Male",NA,810,NA,"Canada","Columbia River","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"123","Coregonus artedi","Cisco","Cisco de lac","Unsexed",NA,150,"SL","United States","Muskellunge Lake, Wisconsin","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"124","Coregonus artedi","Cisco","Cisco de lac","Unsexed",NA,140,"SL","United States","Silver Lake, Wisconsin","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"125","Coregonus artedi","Cisco","Cisco de lac","Unsexed",NA,125,"SL","United States","Trout Lake, Wisconsin","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
