ScientificName,CommonName,FrenchName,Sex,Minimum length at first maturity,Mean length at first maturity (Lm),Measurement type,Country,Locality,Reference,URL
Coregonus clupeaformis,Lake Whitefish,Grand corégone,,,236,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Micropterus salmoides,Largemouth Bass,Achigan à grande bouche,,,272,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Catostomus macrocheilus,Largescale Sucker,Meunier à grandes écailles,,,190,FL,Canada,British Columbia,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Etheostoma microperca,Least Darter,,Male,,34,TL,United States,"Dinner Creek, Minnesota","Johnson and Hatch, 1991",https://doi.org/10.2307/2426372
Etheostoma microperca,Least Darter,,Female,,33,TL,United States,"Dinner Creek, Minnesota","Johnson and Hatch, 1991",https://doi.org/10.2307/2426372
Rhinichthys falcatus,Leopard Dace,Naseux léopard,,,70,FL,Canada,"Fraser River, British Columbia","Gee and Northcote, 1963",http://www.fishbase.org/References/FBRefSummary.php?id=10307
Percina caprodes,Logperch,Dard-perche,,,106,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Lepomis megalotis,Longear Sunfish,Crapet à longues oreilles,,,99,TL,United States,Michigan,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Spirinchus thaleichthys,Longfin Smelt,Éperlan d'hiver,,,107,SL,,,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Rhinichthys cataractae,Longnose Dace,Naseux des rapides,,,74,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Catostomus catostomus,Longnose Sucker,Meunier rouge,,,240,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Noturus insignis,Margined Madtom,,,,103,TL,,,"Carlander, 1969",http://fishbase.us/references/FBRefSummary.php?id=3527
Notropis volucellus,Mimic Shiner,Méné pâle,,,35,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
